Gene                      Capacity   Entropy    Info       logC       R         
AMW76722.1                44.000     41.876     2.124      5.459      19.717    
AMW76721.1                109.000    64.438     44.562     6.768      1.446     
AMW76720.1                396.000    209.585    186.415    8.629      1.124     
AMW76719.1                264.000    150.474    113.526    8.044      1.325     
AMW76718.1                238.000    124.815    113.185    7.895      1.103     
AMW76717.1                447.000    249.651    197.349    8.804      1.265     
AMW76716.1                525.000    235.097    289.903    9.036      0.811     
AMW76715.1                629.000    382.225    246.775    9.297      1.549     
AMW76714.1                475.000    166.925    308.075    8.892      0.542     
AMW76713.1                885.000    417.730    467.270    9.790      0.894     
AMW76712.1                497.000    198.578    298.422    8.957      0.665     
AMW76711.1                226.000    77.028     148.972    7.820      0.517     
AMW76710.1                526.000    201.049    324.951    9.039      0.619     
AMW76709.1                198.000    55.717     142.283    7.629      0.392     
AMW76708.1                231.000    120.118    110.882    7.852      1.083     
AMW76707.1                66.000     41.134     24.866     6.044      1.654     
AMW76706.1                364.000    210.617    153.383    8.508      1.373     
AMW76705.1                588.000    244.330    343.670    9.200      0.711     
AMW76704.1                653.000    437.972    215.028    9.351      2.037     
AMW76703.1                239.000    133.340    105.660    7.901      1.262     
AMW76702.1                76.000     33.266     42.734     6.248      0.778     
AMW76701.1                60.000     40.273     19.727     5.907      2.041     
AMW76700.1                213.000    157.763    55.237     7.735      2.856     
AMW76699.1                107.000    71.533     35.467     6.741      2.017     
AMW76698.1                244.000    137.193    106.807    7.931      1.285     
AMW76697.1                441.000    238.115    202.885    8.785      1.174     
AMW76696.1                308.000    96.744     211.256    8.267      0.458     
AMW76695.1                435.000    344.416    90.584     8.765      3.802     
AMW76694.1                438.000    272.542    165.458    8.775      1.647     
AMW76693.1                147.000    106.119    40.881     7.200      2.596     
AMW76692.1                186.000    99.019     86.981     7.539      1.138     
AMW76691.1                344.000    203.212    140.788    8.426      1.443     
AMW76690.1                86.000     31.409     54.591     6.426      0.575     
AMW76689.1                488.000    306.305    181.695    8.931      1.686     
AMW76688.1                316.000    163.731    152.269    8.304      1.075     
AMW76687.1                665.000    421.914    243.086    9.377      1.736     
AMW76686.1                946.000    581.099    364.901    9.886      1.592     
AMW76685.1                371.000    182.050    188.950    8.535      0.963     
AMW76684.1                224.000    57.801     166.199    7.807      0.348     
AMW76683.1                313.000    177.192    135.808    8.290      1.305     
AMW76682.1                526.000    231.041    294.959    9.039      0.783     
AMW76681.1                310.000    177.106    132.894    8.276      1.333     
AMW76680.1                476.000    209.208    266.792    8.895      0.784     
AMW76679.1                309.000    183.675    125.325    8.271      1.466     
AMW76678.1                395.000    230.105    164.895    8.626      1.395     
AMW76677.1                332.000    187.572    144.428    8.375      1.299     
AMW76676.1                142.000    96.997     45.003     7.150      2.155     
AMW76675.1                226.000    156.903    69.097     7.820      2.271     
AMW76674.1                165.000    101.025    63.975     7.366      1.579     
AMW76673.1                122.000    95.268     26.732     6.931      3.564     
AMW76672.1                391.000    198.936    192.064    8.611      1.036     
AMW76671.1                1291.000   834.817    456.183    10.334     1.830     
AMW76670.1                1255.000   783.181    471.819    10.293     1.660     
AMW76669.1                147.000    86.923     60.077     7.200      1.447     
AMW76668.1                413.000    269.649    143.351    8.690      1.881     
AMW76667.1                207.000    118.555    88.445     7.693      1.340     
AMW76666.1                78.000     21.614     56.386     6.285      0.383     
AMW76665.1                287.000    101.570    185.430    8.165      0.548     
AMW76664.1                101.000    46.772     54.228     6.658      0.863     
AMW76663.1                181.000    136.468    44.532     7.500      3.065     
AMW76662.1                181.000    105.019    75.981     7.500      1.382     
AMW76661.1                525.000    326.434    198.566    9.036      1.644     
AMW76660.1                280.000    171.833    108.167    8.129      1.589     
AMW76659.1                475.000    287.127    187.873    8.892      1.528     
AMW76658.1                99.000     54.175     44.825     6.629      1.209     
AMW76657.1                942.000    506.525    435.475    9.880      1.163     
AMW76656.1                745.000    430.061    314.939    9.541      1.366     
AMW76655.1                83.000     32.682     50.318     6.375      0.650     
AMW76654.1                161.000    86.675     74.325     7.331      1.166     
AMW76653.1                148.000    90.227     57.773     7.209      1.562     
AMW76652.1                704.000    412.884    291.116    9.459      1.418     
AMW76651.1                94.000     46.932     47.068     6.555      0.997     
AMW76650.1                339.000    199.872    139.128    8.405      1.437     
AMW76649.1                157.000    89.467     67.533     7.295      1.325     
